Name,Age,Runs,Ballers,Wickets
Sean Abbott,29,0,Wes Agar,0
Ashton Agar,28,0,Alex Carey,0
Wes Agar,24,0,Pat Cummins,0
Jason Behrendoff,31,0,Aaron Finch,0
Joe Burns,32,0,Cameron Green,0
Alex Carey,30,0,-,0
Dan Christian,38,0,-,0
Pat Cummins,28,0,-,0
Nathan Ellis,27,0,-,0
Aaron Finch,35,0,-,0
Cameron Green,22,0,-,0
