Name,Ballers
Temba Bavuma,Junior Dala
Junior Dala,Dean Elgar
Quinton De Kock,Bjorn Fortuin
Faf du Plessis,George Linde
Dean Elgar,Sisanda Magala
Bjorn Fortuin,
Beuran Hendricks,
Heinrich Klaasen,
George Linde,
Sisanda Magala,
Keshav Maharaj,
