Name,Ballers
Mayank Agarwal,Ravichandran Ashwin
Ravichandran Ashwin,Deepak Chahar
Jasprit Bumrah,Shikhar Dhawan
Yuzvendra Chahal,Ishan Kishan
Deepak Chahar,Kuldeep Yadav
Shikhar Dhawan,
Ruturaj Gaikwad,
Ishan Kishan,
Virat Kholi,
Kuldeep Yadav,
Mohammed Siraj,
